gyrX,gyrY,gyrZ,magX,magY,magZ,accX,accY,accZ
-0.004228,0.018908,0.011551,-1.408231,-28.116125,7.349742,-0.380678,10.068815,0.466869
-0.005293,0.017843,0.009421,-1.534544,-28.001579,7.308609,-0.341174,10.081984,0.403423
-0.004228,0.015713,0.006225,-1.678639,-27.956644,7.309377,-0.308852,10.111911,0.440533
0.003229,0.007191,0.000899,-1.683930,-27.953852,7.255774,-0.287304,10.054450,0.487220
-0.003163,-0.005593,-0.010819,-1.592189,-27.882654,7.216506,-0.305261,10.068815,0.494403
-0.009554,-0.016245,-0.010819,-1.501960,-27.881966,7.236399,-0.347159,10.160992,0.525527
-0.001032,-0.016245,-0.001232,-1.430315,-28.093241,7.354839,-0.403423,10.101137,0.497994
0.003229,-0.015180,0.000899,-1.396575,-28.423317,7.585978,-0.408211,10.073604,0.451307
0.007490,-0.008788,-0.004428,-1.268846,-28.655703,7.736105,-0.428562,10.064027,0.430956
0.006425,-0.000266,-0.009754,-0.958204,-28.617273,7.624820,-0.414197,10.081984,0.464475
0.001099,0.009321,-0.005493,-0.666237,-28.338346,7.484948,-0.439336,10.074800,0.488417
-0.004228,0.015713,-0.001232,-0.619144,-27.984924,7.552115,-0.365116,10.060435,0.454898
-0.008489,0.010386,-0.003362,-0.787402,-27.680738,7.645481,-0.335188,10.010158,0.463278
-0.013815,0.007191,-0.010819,-0.980662,-27.386051,7.658645,-0.440533,10.037690,0.439336
-0.027664,0.047671,-0.032124,-1.103066,-27.198772,7.690284,-1.018733,10.126276,0.142455
-0.023403,0.198938,-0.034255,-1.182245,-27.278025,7.709638,-1.444901,10.183737,-0.152032
0.019208,0.402404,0.006225,-1.243433,-27.515232,7.611333,-1.673547,10.064027,-0.011971
0.008555,0.609065,-0.028929,-1.270591,-27.804632,7.397004,-1.732205,9.726444,0.061052
-0.023403,0.783768,-0.093910,-1.303124,-27.987066,7.230681,-1.302446,9.895236,0.312443
-0.026598,0.881773,-0.113084,-1.513591,-28.005163,7.196155,-0.937330,10.060435,0.538695
-0.019141,0.908404,-0.105628,-1.856382,-27.990654,7.223865,-0.481235,10.095152,0.677559
-0.011685,0.853010,-0.084322,-2.045694,-27.871050,7.386223,0.124498,10.224439,0.867898
0.011751,0.687895,-0.037451,-2.042330,-27.692503,7.705217,0.901417,10.253169,1.113304
0.042644,0.390686,0.022204,-2.085113,-27.646282,7.999685,1.601721,10.242394,1.443704
0.022404,0.021039,0.033922,-2.296712,-27.739704,8.148651,1.748964,10.164583,1.424550
-0.006358,-0.321976,0.068010,-2.533504,-27.957275,8.089042,1.389834,10.311827,1.139640
0.020273,-0.613859,0.151101,-2.674336,-28.191435,7.855697,1.242591,10.090364,1.223437
-0.001032,-0.876979,0.141514,-2.655494,-28.322861,7.653206,0.894234,9.933543,1.040281
-0.029794,-1.066596,0.101034,-2.503439,-28.338415,7.604264,0.452504,10.109517,0.889446
-0.014880,-1.194428,0.103164,-2.297529,-28.174376,7.620342,0.166397,10.156203,0.899023
-0.017011,-1.255148,0.077598,-2.092864,-27.881447,7.681012,-0.430956,10.022128,0.664391
-0.055360,-1.162470,0.015813,-2.080064,-27.570705,7.843016,-1.584962,10.242394,-0.014365
-0.008489,-0.883371,0.038183,-2.256842,-27.309376,7.965568,-2.529474,10.595540,-0.465672
0.118278,-0.487092,0.129796,-2.368357,-27.170574,7.890295,-2.765303,10.008960,-0.441730
0.105494,-0.102532,0.041379,-2.258621,-27.184969,7.675350,-2.558204,9.209297,-0.232238
-0.015946,0.237288,-0.149303,-1.935260,-27.402910,7.521109,-2.312799,9.568427,-0.250194
-0.030859,0.531301,-0.170609,-1.574664,-27.771931,7.524128,-1.968034,10.158598,0.007183
-0.011685,0.748615,-0.129063,-1.399891,-27.963959,7.586423,-1.333570,9.921572,0.149638
-0.044708,0.870055,-0.135455,-1.357654,-27.868902,7.642249,-0.869095,9.992201,0.438139
-0.064948,0.915861,-0.122672,-1.244181,-27.725876,7.664527,-0.543484,10.156203,0.577003
-0.045773,0.871120,-0.076865,-1.193547,-27.541824,7.633610,0.056264,10.313024,0.853533
-0.018076,0.727309,-0.042777,-1.283291,-27.350882,7.640390,0.632069,10.238804,1.017536
-0.008489,0.511061,-0.018276,-1.317054,-27.263815,7.696725,0.907402,10.261548,1.066617
-0.002097,0.267115,0.027530,-1.294267,-27.213200,7.577754,0.992397,10.412383,1.009156
0.024534,0.039148,0.105295,-1.250971,-27.162930,7.204208,0.878672,10.223241,0.897826
0.029861,-0.156860,0.139383,-1.227443,-27.178728,6.808460,0.603339,10.028113,0.826000
0.012816,-0.310258,0.120208,-1.356499,-27.438660,6.606309,0.486023,9.987412,0.678756
0.017078,-0.440221,0.101034,-1.631493,-27.957420,6.684745,0.296881,10.011354,0.711078
0.005360,-0.530768,0.058423,-1.869100,-28.456806,6.979106,0.009577,9.877279,0.560243
-0.006358,-0.554204,0.025400,-1.980134,-28.646734,7.299370,-0.416591,10.095152,0.310049
0.008555,-0.515854,0.033922,-2.058889,-28.558611,7.567786,-0.659603,10.040085,0.296881
0.013882,-0.473244,0.021139,-2.070325,-28.478666,7.866458,-0.590171,9.809045,0.410606
-0.020207,-0.434894,-0.037451,-1.934245,-28.465199,8.016412,-0.636858,9.829395,0.355539
