gyrX,gyrY,gyrZ,magX,magY,magZ,accX,accY,accZ
-0.010486,-0.000433,0.008456,8.963631,-44.045277,0.286330,0.164003,10.049662,-0.859518
-0.015813,0.001698,0.006325,9.182979,-44.093845,0.349982,0.159214,10.078392,-0.852336
-0.012617,0.001698,0.003129,9.437195,-44.134476,0.415056,0.117316,10.074800,-0.849942
-0.004095,-0.000433,0.000999,9.509277,-44.163269,0.423390,0.147243,10.120291,-0.843956
-0.001964,-0.000433,-0.001132,9.539491,-44.254936,0.343589,0.177171,10.081984,-0.879869
-0.004095,-0.001498,-0.004328,9.573418,-44.254562,0.282032,0.107739,10.109517,-0.811634
0.000166,-0.002563,-0.006458,9.424247,-44.076687,0.241375,0.150835,10.104729,-0.913388
0.011884,0.001698,-0.001132,9.098388,-43.834404,0.070283,0.136469,10.049662,-0.896629
0.014015,0.000633,-0.003262,8.797190,-43.698399,-0.129234,0.126893,10.046070,-0.837971
0.007623,0.000633,-0.010719,8.701013,-43.788544,-0.169212,0.108936,10.065224,-0.792481
-0.006225,0.004894,-0.020307,8.825716,-43.968849,-0.080543,0.122104,10.017340,-0.878672
-0.009421,0.009155,-0.026698,9.001531,-44.171368,0.111399,0.141258,10.079589,-0.888249
0.002297,0.005959,-0.019241,9.196646,-44.418636,0.433439,0.140061,10.077195,-0.870292
0.009754,-0.002563,-0.011784,9.406890,-44.564098,0.694475,0.192733,10.011354,-0.855927
0.005493,-0.013216,-0.010719,9.449126,-44.483677,0.696545,0.190339,10.119094,-0.875081
0.019341,-0.020673,-0.012850,9.298835,-44.162838,0.426062,0.131681,10.290278,-0.916979
0.082192,-0.032391,-0.050134,9.086346,-43.716457,0.108647,0.070629,10.771513,-1.058237
0.263287,-0.040913,-0.148138,8.849133,-43.405663,-0.032429,0.105345,11.852495,-1.486799
0.685131,-0.057957,-0.367583,8.602494,-43.403755,-0.101727,-0.174777,13.548787,-1.559822
1.353052,0.004894,-0.208858,8.513043,-43.573055,-0.100676,-0.128090,13.048399,-0.682347
1.628956,0.014481,-0.140681,8.726711,-43.570545,0.101439,0.058658,10.113108,-0.500388
1.441469,-0.015346,-0.323907,9.130966,-43.265564,0.509451,0.041899,9.598354,-1.134852
1.372227,-0.033456,-0.490088,9.588516,-42.880871,1.201786,-0.076614,10.879252,-1.835156
1.595933,-0.016412,-0.400606,10.098518,-42.589745,2.184202,-0.274136,10.678140,-1.848324
1.619368,-0.013216,-0.261056,10.545839,-42.363403,3.315806,0.000000,8.799889,-1.914164
1.387141,-0.065414,-0.323907,10.725292,-42.125370,4.488218,-0.402226,9.008183,-2.715025
1.346661,-0.046239,-0.250404,10.755359,-41.872738,5.609509,-0.392649,9.136273,-2.829947
1.230547,-0.041978,-0.107658,10.916406,-41.521191,6.701363,-0.342371,7.790732,-2.871845
0.896054,-0.071805,-0.115115,11.168932,-40.990459,7.878806,-0.434548,7.466318,-3.312378
0.580736,-0.085654,-0.103397,11.325085,-40.571388,9.205084,-0.430956,7.802703,-3.593697
0.362356,-0.089915,-0.054395,11.387820,-40.461357,10.568427,-0.578200,7.971495,-3.797204
0.154630,-0.084589,-0.001132,11.467876,-40.536510,11.768582,-0.577003,7.781156,-3.883395
-0.076533,-0.071805,0.045740,11.704091,-40.699284,12.728883,-0.615310,7.860164,-3.902549
-0.293847,-0.045174,0.117113,12.143758,-40.840733,13.504279,-0.651223,7.993042,-3.784036
-0.519683,-0.022803,0.148005,12.588096,-40.853443,14.142283,-0.543484,8.028955,-3.604471
-0.745519,0.003828,0.191681,12.869024,-40.714901,14.526622,-0.417788,8.139089,-3.347094
-0.983073,0.027264,0.257727,12.956192,-40.503258,14.562696,-0.434548,8.073248,-3.092112
-1.252585,0.048569,0.310991,12.829522,-40.346722,14.261663,-0.259771,8.109161,-2.871845
-1.486943,0.056026,0.273706,12.551311,-40.328960,13.711094,-0.375890,9.127894,-2.894590
-1.444332,0.074136,0.300338,12.271382,-40.557705,13.112264,-0.335188,10.316615,-2.722207
-1.294130,0.082658,0.320578,12.048024,-41.056282,12.353613,-0.299275,10.032902,-2.394202
-1.237671,0.074136,0.251336,11.760303,-41.523479,11.158991,-0.140061,10.049662,-2.224213
-1.162037,0.049635,0.154397,11.346176,-41.757442,9.727237,-0.020351,10.730812,-2.190695
-0.985203,0.051765,0.125635,10.834949,-42.014286,8.414602,-0.207098,11.253945,-2.172738
-0.755106,0.052830,0.161854,10.350248,-42.444580,7.224442,-0.132878,11.027693,-1.812411
-0.605969,0.047504,0.142679,10.092975,-42.914177,6.033893,0.003591,10.668563,-1.595735
-0.522878,0.021938,0.042544,10.040026,-43.243317,4.839281,0.123301,10.854114,-1.590947
-0.357762,0.001698,-0.010719,9.961201,-43.264706,3.740206,-0.047884,11.355699,-1.572991
-0.139383,0.011285,0.012717,9.765968,-43.071938,2.930205,-0.118513,10.862494,-1.429338
-0.041379,0.013416,0.014847,9.642558,-43.004940,2.477822,-0.062249,10.353725,-1.292869
-0.009421,0.016611,-0.008589,9.711497,-43.204292,2.211557,-0.040701,10.174160,-1.264138
0.006558,0.011285,-0.026698,9.828961,-43.476528,1.923581,-0.082600,10.108319,-1.333570
0.032124,0.012350,-0.023502,9.857268,-43.670303,1.697088,-0.019154,10.132261,-1.230620
0.039581,0.009155,-0.021372,9.881932,-43.832783,1.752646,-0.002394,9.959879,-1.240196
0.018276,0.008089,-0.025633,9.885126,-44.007538,1.991296,-0.026336,9.915586,-1.224634
0.012950,0.008089,-0.019241,9.699278,-44.005100,2.106837,-0.094571,10.013748,-1.235408
0.015080,0.010220,-0.018176,9.370856,-43.755199,1.873474,-0.058658,9.950302,-1.261744
0.010819,0.009155,-0.022437,9.039357,-43.570210,1.371209,-0.015562,9.934740,-1.177947
0.001232,0.009155,-0.027763,8.890782,-43.527069,0.958719,-0.020351,9.927557,-1.206678
-0.009421,-0.000433,-0.028829,9.037138,-43.456291,0.908303,-0.034716,9.913192,-1.128866
-0.026465,-0.006824,-0.026698,9.325072,-43.312088,1.204102,-0.110133,9.976639,-1.121683
-0.047770,-0.000433,-0.018176,9.549391,-43.131680,1.621540,-0.084994,10.012551,-1.162385
-0.059488,0.005959,-0.006458,9.594996,-42.984531,1.925357,-0.047884,9.968259,-1.181539
-0.072272,0.005959,-0.009654,9.531376,-42.897251,2.010843,-0.044293,10.002975,-1.228225
-0.066945,-0.010020,-0.027763,9.428185,-42.915222,1.945438,-0.093374,10.071210,-1.260547
-0.034987,-0.023869,-0.041612,9.267137,-43.009598,1.791226,-0.124498,10.183737,-1.213860
-0.009421,-0.024934,-0.032025,9.214262,-43.106937,1.639973,-0.150835,10.065224,-1.277307
-0.003029,-0.015346,-0.027763,9.312596,-43.230957,1.624000,-0.204704,9.988609,-1.315614
-0.007290,-0.021738,-0.038416,9.419142,-43.313477,1.631259,-0.079009,10.000581,-1.242591
-0.000899,-0.051565,-0.050134,9.567902,-43.374695,1.484866,-0.128090,10.117896,-1.264138
-0.003029,-0.063283,-0.035220,9.811299,-43.562077,1.219838,-0.158017,10.080787,-1.286883
-0.014747,-0.053696,-0.006458,9.977481,-43.876549,1.024847,-0.274136,10.072407,-1.331176
-0.027530,-0.014281,0.040413,9.925422,-44.204308,1.035524,-0.310049,9.895236,-1.240196
-0.047770,0.026199,0.055327,9.823980,-44.295376,1.261084,-0.311246,9.895236,-1.207875
-0.057358,0.053896,0.044675,9.822957,-44.106903,1.574310,-0.217872,10.081984,-1.240196
-0.041379,0.076266,0.018043,9.825560,-43.926167,1.778321,-0.189142,10.139444,-1.295263
-0.007290,0.081593,0.002064,9.769991,-43.799744,1.830401,-0.064643,10.237606,-1.258153
0.015080,0.073070,-0.004328,9.771872,-43.724293,1.769916,-0.034716,10.049662,-1.272518
0.007623,0.052830,-0.017111,9.845358,-43.806889,1.682492,0.045490,9.933543,-1.238999
-0.022204,0.041113,-0.021372,9.879107,-43.963463,1.747972,-0.043096,9.892841,-1.233014
-0.048836,0.038982,-0.032025,9.872355,-43.961060,1.992286,-0.146046,9.900024,-1.242591
-0.055227,0.034721,-0.045873,9.906980,-43.690201,2.229107,-0.114922,9.968259,-1.201889
-0.048836,0.030460,-0.044808,10.013897,-43.374451,2.267004,-0.156820,10.026917,-1.205481
-0.047770,0.034721,-0.036286,10.119330,-43.114605,2.113316,-0.123301,10.048465,-1.152808
-0.055227,0.029395,-0.019241,10.203182,-42.903214,1.898553,-0.035913,9.909601,-1.115698
-0.064815,0.004894,-0.023502,10.215589,-42.905266,1.667442,0.026336,10.147824,-1.122881
-0.056293,-0.025999,-0.029894,10.161725,-43.068249,1.444582,-0.022745,10.139444,-1.078588
-0.042444,-0.052631,-0.032025,10.175952,-43.231281,1.269779,-0.082600,10.052056,-0.988805
-0.048836,-0.073936,-0.036286,10.205036,-43.272980,1.137686,-0.134075,10.121488,-0.956484
-0.040314,-0.085654,-0.025633,10.176073,-43.129711,1.037294,-0.254982,10.155006,-0.978031
-0.023269,-0.078197,-0.030959,10.036041,-43.104618,0.957069,-0.365116,10.181343,-1.128866
0.000166,-0.048370,-0.036286,9.781607,-43.304245,0.917203,-0.418985,10.092757,-1.144428
0.002297,-0.016412,-0.024568,9.611979,-43.438057,0.978736,-0.480037,9.925163,-1.030704
-0.015813,0.015546,-0.009654,9.650053,-43.380333,1.076515,-0.335188,10.046070,-0.966060
-0.022204,0.037917,0.016978,9.735248,-43.168327,1.083171,-0.254982,10.030508,-0.963666
-0.037118,0.040047,0.024435,9.737000,-42.969143,0.955911,-0.243011,10.014946,-0.910994
-0.047770,0.030460,0.022304,9.847021,-42.934284,0.700808,-0.117316,10.012551,-0.875081
-0.045640,0.011285,0.013782,10.031509,-43.029346,0.360916,-0.130484,10.114305,-0.899023
-0.030726,-0.002563,0.015912,10.036885,-43.197342,0.062661,-0.175974,10.150218,-0.920571
